iter	Passed	Remaining
473	726	806
474	727	804
475	729	802
476	730	801
477	731	799
478	733	797
479	734	795
480	736	794
481	737	792
482	738	790
483	740	789
484	742	788
485	744	786
486	745	785
487	747	783
488	748	782
489	749	780
490	751	778
491	752	777
492	754	775
493	755	774
494	757	772
495	759	771
496	760	769
497	761	768
498	763	766
499	765	765
500	766	763
501	767	761
502	769	760
503	770	758
504	772	757
505	773	755
506	775	754
507	777	752
508	778	750
509	779	749
510	780	747
511	782	745
512	783	743
513	784	742
514	786	740
515	788	739
516	789	737
517	790	735
518	792	734
519	793	732
520	794	730
521	795	728
522	797	727
523	798	725
524	799	723
525	801	722
526	803	720
527	804	719
528	805	717
529	807	715
530	809	714
531	810	712
532	811	711
533	813	709
534	814	708
535	816	706
536	817	705
537	819	703
538	821	702
539	822	700
540	824	699
541	825	697
542	826	695
543	827	693
544	829	692
545	830	690
546	832	689
547	834	688
548	835	686
549	837	685
550	838	683
551	840	681
552	841	680
553	842	678
554	844	676
555	845	675
556	847	673
557	848	672
558	850	670
559	852	669
560	853	668
561	855	666
562	856	664
563	857	663
564	859	661
565	860	659
566	862	658
567	863	656
568	865	655
569	866	653
570	867	651
571	869	650
572	870	648
573	871	646
574	872	645
575	874	643
576	875	641
577	877	640
578	878	638
579	880	637
580	881	635
581	882	634
582	884	632
583	885	630
584	886	629
585	888	627
586	889	625
587	890	624
588	891	622
589	893	621
590	895	619
591	896	617
592	897	616
593	898	614
594	900	612
595	901	610
596	902	609
597	903	607
598	905	606
599	906	604
600	908	603
601	910	601
602	912	600
603	913	598
604	914	597
605	916	595
606	917	594
607	919	592
608	920	591
609	922	589
610	924	588
611	925	586
612	927	585
613	928	583
614	930	582
615	931	580
616	933	579
617	934	577
618	936	576
619	937	574
620	939	573
621	941	572
622	942	570
623	944	569
624	945	567
625	947	566
626	948	564
627	950	562
628	951	561
629	953	560
630	955	558
631	957	557
632	958	555
633	960	554
634	961	552
635	963	551
636	964	549
637	966	548
638	967	546
639	968	545
640	970	543
641	972	542
642	974	540
643	975	539
644	976	537
645	978	536
646	979	534
647	980	532
648	982	531
649	983	529
650	985	528
651	987	526
652	988	525
653	990	523
654	991	522
655	992	520
656	993	518
657	995	517
658	996	515
659	997	513
660	999	512
661	1001	511
662	1002	509
663	1003	508
664	1005	506
665	1006	504
666	1008	503
667	1009	501
668	1010	500
669	1012	498
670	1013	496
671	1015	495
672	1016	493
673	1018	492
674	1019	490
675	1020	489
676	1021	487
677	1023	485
678	1024	484
679	1025	482
680	1027	481
681	1028	479
682	1030	478
683	1032	477
684	1034	475
685	1035	474
686	1037	472
687	1038	471
688	1040	469
689	1041	467
690	1042	466
691	1044	464
692	1045	463
693	1047	461
694	1048	460
695	1050	458
696	1051	457
697	1052	455
698	1054	453
699	1055	452
700	1057	450
701	1058	449
702	1059	447
703	1061	446
704	1062	444
705	1064	443
706	1066	441
707	1067	440
708	1068	438
709	1070	437
710	1071	435
711	1072	433
712	1073	432
713	1075	430
714	1077	429
715	1078	427
716	1080	426
717	1081	424
718	1082	423
719	1083	421
720	1085	419
721	1086	418
722	1087	416
723	1089	415
724	1090	413
725	1092	412
726	1093	410
727	1094	409
728	1096	407
729	1097	405
730	1098	404
731	1100	402
732	1101	401
733	1102	399
734	1104	398
735	1105	396
736	1107	395
737	1108	393
738	1110	392
739	1111	390
740	1112	388
741	1114	387
742	1115	385
743	1116	384
744	1117	382
745	1119	381
746	1120	379
747	1122	378
748	1123	376
749	1125	375
750	1126	373
751	1128	372
752	1130	370
753	1131	369
754	1133	367
755	1134	366
756	1135	364
757	1137	363
758	1139	361
759	1140	360
760	1142	358
761	1143	357
762	1144	355
763	1146	354
764	1147	352
765	1148	350
766	1150	349
767	1151	347
768	1153	346
769	1154	344
770	1156	343
771	1157	341
772	1159	340
773	1160	338
774	1161	337
775	1163	335
776	1164	334
777	1165	332
778	1167	331
779	1169	329
780	1170	328
781	1172	326
782	1173	325
783	1175	323
784	1176	322
785	1178	320
786	1180	319
787	1181	317
788	1183	316
789	1185	315
790	1186	313
791	1187	311
792	1189	310
793	1190	308
794	1192	307
795	1193	305
796	1195	304
797	1196	302
798	1198	301
799	1200	300
800	1201	298
801	1202	296
802	1204	295
803	1205	293
804	1207	292
805	1208	290
806	1209	289
807	1211	287
808	1213	286
809	1214	284
810	1216	283
811	1217	281
812	1219	280
813	1220	278
814	1221	277
815	1223	275
816	1225	274
817	1226	272
818	1228	271
819	1230	270
820	1231	268
821	1233	267
822	1234	265
823	1236	264
824	1237	262
825	1239	261
826	1240	259
827	1241	257
828	1243	256
829	1245	255
830	1247	253
831	1248	252
832	1250	250
833	1252	249
834	1253	247
835	1254	246
836	1256	244
837	1257	243
838	1259	241
839	1260	240
840	1262	238
841	1264	237
842	1266	235
843	1267	234
844	1268	232
845	1270	231
846	1271	229
847	1272	228
848	1274	226
849	1276	225
850	1278	223
851	1279	222
852	1281	220
853	1282	219
854	1283	217
855	1285	216
856	1286	214
857	1288	213
858	1290	211
859	1291	210
860	1293	208
861	1294	207
862	1296	205
863	1297	204
864	1299	202
865	1300	201
866	1301	199
867	1303	198
868	1304	196
869	1306	195
870	1307	193
871	1309	192
872	1310	190
873	1311	189
874	1313	187
875	1314	186
876	1315	184
877	1317	183
878	1319	181
879	1321	180
880	1323	178
881	1324	177
882	1326	175
883	1328	174
884	1330	172
885	1331	171
886	1333	169
887	1335	168
888	1337	166
889	1339	165
890	1340	164
891	1342	162
892	1344	161
893	1346	159
894	1347	158
895	1349	156
896	1351	155
897	1353	153
898	1355	152
899	1356	150
900	1358	149
901	1360	147
902	1361	146
903	1363	144
904	1365	143
905	1367	141
906	1369	140
907	1370	138
908	1372	137
909	1374	135
910	1376	134
911	1377	132
912	1379	131
913	1381	129
914	1383	128
915	1385	127
916	1387	125
917	1389	124
918	1391	122
919	1393	121
920	1396	119
921	1398	118
922	1400	116
923	1402	115
924	1404	113
925	1406	112
926	1408	110
927	1410	109
928	1413	108
929	1415	106
930	1417	105
931	1419	103
932	1421	102
933	1423	100
934	1425	99
935	1427	97
936	1429	96
937	1431	94
938	1434	93
939	1436	91
940	1438	90
941	1440	88
942	1442	87
943	1444	85
944	1446	84
945	1449	82
946	1451	81
947	1453	79
948	1455	78
949	1457	76
950	1460	75
951	1462	73
952	1464	72
953	1465	70
954	1467	69
955	1469	67
956	1472	66
957	1474	64
958	1476	63
959	1478	61
960	1480	60
961	1482	58
962	1484	57
963	1486	55
964	1488	53
965	1490	52
966	1493	50
967	1494	49
968	1496	47
969	1498	46
970	1501	44
971	1503	43
972	1505	41
973	1506	40
974	1508	38
975	1510	37
976	1512	35
977	1514	34
978	1516	32
979	1518	30
980	1520	29
981	1521	27
982	1523	26
983	1525	24
984	1527	23
985	1529	21
986	1531	20
987	1533	18
988	1535	17
989	1537	15
990	1539	13
991	1540	12
992	1542	10
993	1544	9
994	1546	7
995	1548	6
996	1550	4
997	1552	3
998	1554	1
999	1556	0
