iter	RMSE
137	0.864388246
138	0.8572882777
139	0.8514293433
140	0.8454819855
141	0.8389951772
142	0.8320400413
143	0.8259371847
144	0.8205824177
145	0.8146217486
146	0.80831213
147	0.8019569497
148	0.7970566232
149	0.7913953863
150	0.7864695113
151	0.7791279528
152	0.7732428119
153	0.7658848145
154	0.7588651917
155	0.7528840659
156	0.7486171999
157	0.742568536
158	0.7368807925
159	0.7311302539
160	0.7261611313
161	0.7210215266
162	0.7153236378
163	0.7108272971
164	0.7052086881
165	0.7000328288
166	0.6940234142
167	0.6895495572
168	0.6836344311
169	0.6776018198
170	0.6732955984
171	0.6692378257
172	0.6649071351
173	0.6605049396
174	0.6566936674
175	0.651062062
176	0.6464465068
177	0.6425361932
178	0.6375781313
179	0.6335427119
180	0.6284832133
181	0.6244288304
182	0.6197492585
183	0.6157000682
184	0.6122065091
185	0.6085393996
186	0.6050431269
187	0.6012303683
188	0.5975646018
189	0.5923862468
190	0.5883795249
191	0.5835473162
192	0.5800250217
193	0.5748365005
194	0.5717720294
195	0.5682254753
196	0.5654216359
197	0.5618747757
198	0.5580562558
199	0.554134795
200	0.5507275515
201	0.5480620315
202	0.544404575
203	0.540944912
204	0.5375708122
205	0.5350223784
206	0.5315285321
207	0.5272060968
208	0.5243182767
209	0.5207757963
210	0.5175119301
211	0.5148345401
212	0.5115560541
213	0.5072271812
214	0.5036609525
215	0.4989433708
216	0.4955839319
217	0.4922931936
218	0.4894513565
219	0.4864223546
220	0.4822341212
221	0.4793499601
222	0.4768702078
223	0.4733670197
224	0.4703190866
225	0.4675629164
226	0.4645862731
227	0.4623287125
228	0.4593309772
229	0.4552129535
230	0.4528161293
231	0.4500938699
232	0.4473286804
233	0.4450346716
234	0.4422954101
235	0.4384520173
236	0.4348294274
237	0.4324528916
238	0.4297024994
239	0.4271943545
240	0.4245977906
241	0.4219395591
242	0.4197706026
243	0.417429733
244	0.4151418096
245	0.4129635563
246	0.4108602561
247	0.4085715212
248	0.4060160259
249	0.4033822708
250	0.4009799421
251	0.3988306998
252	0.396114217
253	0.3935688869
254	0.3910661197
255	0.3887850933
256	0.3864348206
257	0.3843860731
258	0.3824674626
259	0.3800769649
260	0.3781799461
261	0.3758135078
262	0.3726159039
263	0.3703087686
264	0.3680279745
265	0.3657358432
266	0.3635291558
267	0.3612331936
268	0.3590030453
269	0.3568964782
270	0.3547628768
271	0.3526331554
272	0.3505035402
273	0.3483558371
274	0.3465648907
275	0.3448376889
276	0.3427579482
277	0.3407204948
278	0.3386707802
279	0.3365728343
280	0.334723455
281	0.3329589187
282	0.3309671354
283	0.328921402
284	0.327222774
285	0.3252679807
286	0.3232604045
287	0.321331988
288	0.319675474
289	0.3178013517
290	0.31590839
291	0.3139471037
292	0.3122637106
293	0.31067592
294	0.3088279967
295	0.3070132924
296	0.305189607
297	0.3034186704
298	0.3015972591
299	0.3000518496
300	0.2982841391
301	0.2964893063
302	0.2948869077
303	0.2933779877
304	0.2917284107
305	0.2899807503
306	0.2882386044
307	0.2865440418
308	0.2848307605
309	0.2831468113
310	0.2814799473
311	0.2797931239
312	0.2783653566
313	0.2767290772
314	0.2750842658
315	0.2734689049
316	0.2719346738
317	0.2703338998
318	0.2686743063
319	0.2673074985
320	0.2657363803
321	0.2641498843
322	0.262570188
323	0.261068321
324	0.259470321
325	0.2581522392
326	0.2565897353
327	0.2552893259
328	0.2537693872
329	0.2524873644
330	0.2509855432
331	0.2495235769
332	0.2480715875
333	0.2468212416
334	0.2453788646
335	0.2441420916
336	0.2426990936
337	0.2412595077
338	0.2397920771
339	0.2385856543
340	0.2372576523
341	0.2360673869
342	0.2346699532
343	0.2332555305
344	0.2318767766
345	0.2307127796
346	0.2293235194
347	0.2280366054
348	0.2268965831
349	0.225558926
350	0.224198475
351	0.2229034156
352	0.2215563174
353	0.2202189149
354	0.2191201189
355	0.2177992952
356	0.21671489
357	0.2154787522
358	0.2144058267
359	0.2131738196
360	0.2121160522
361	0.2109326134
362	0.2096955697
363	0.2085040189
364	0.2072814301
365	0.2061054172
366	0.2049576417
367	0.2039468836
368	0.2027530738
369	0.201576509
370	0.200408123
371	0.1992389371
372	0.1980778972
373	0.1969249429
374	0.1957639308
375	0.194800089
376	0.193721535
377	0.1925962594
378	0.1916524963
379	0.1905112047
380	0.1894071828
381	0.1883108683
382	0.1873878461
383	0.1863049004
384	0.1853967449
385	0.1843269995
386	0.183264735
387	0.1822098968
388	0.1813216988
389	0.1802797565
390	0.1792351263
391	0.1782326098
392	0.1772109204
393	0.176351739
394	0.1753425677
395	0.1744946955
396	0.1734978057
397	0.1725079083
398	0.1715249528
399	0.1706753132
400	0.169704599
401	0.1688662125
402	0.1679075933
403	0.1669679947
404	0.1660213496
405	0.1650240556
406	0.1641026244
407	0.163143496
408	0.1622213924
409	0.1613047499
410	0.1605326823
411	0.1595711193
412	0.1586572501
413	0.1577939295
414	0.1568737351
415	0.1559773995
416	0.155099069
417	0.1542265547
418	0.1533473014
419	0.1524558437
420	0.1515991264
421	0.1507366997
422	0.1499210083
423	0.1490697209
424	0.1482342929
425	0.1473750067
426	0.1465400287
427	0.1457109913
428	0.1448878509
429	0.144077551
430	0.1432649916
431	0.142458213
432	0.1416571732
433	0.1408618305
434	0.1400721438
435	0.1392907246
436	0.1385180245
437	0.1377434557
438	0.1369744011
439	0.136210821
440	0.1354526763
441	0.1346999281
442	0.1339525379
443	0.1332104678
444	0.13247368
445	0.1317421371
446	0.1310158023
447	0.1302946388
448	0.1295786104
449	0.1288676813
450	0.1281618158
451	0.1274609787
452	0.126765135
453	0.1260742503
454	0.1253882903
455	0.1247072209
456	0.1240310087
457	0.1233596204
458	0.1226930228
459	0.1220311833
460	0.1213536601
461	0.1207007755
462	0.1200525592
463	0.1194089798
464	0.1187700057
465	0.1180572487
466	0.1174267933
467	0.1168008499
468	0.1161793883
469	0.1155623784
470	0.1149497905
471	0.1143415952
472	0.1137377631
473	0.1131382654
474	0.1125430733
475	0.1118700737
476	0.1112401429
477	0.1106150631
478	0.1099947912
479	0.1093792849
480	0.1087685024
481	0.1081624023
482	0.1075609441
483	0.1069640877
484	0.1063717937
485	0.1057840229
486	0.1052007372
487	0.1046218985
488	0.1040474694
489	0.1034299428
490	0.1028635518
491	0.1023014651
492	0.1017436471
493	0.1012679984
494	0.1006787587
495	0.1001314165
496	0.09958823236
497	0.09912492723
498	0.09853970695
499	0.09800700101
500	0.09747833966
501	0.09695369032
502	0.09643302086
503	0.09591629952
504	0.09532860509
505	0.09488843755
506	0.09430853767
507	0.09387435621
508	0.09330215111
509	0.09287386107
510	0.09230926374
511	0.09181799697
512	0.09133036366
513	0.09084633965
514	0.09036590096
515	0.08959022983
516	0.08911749665
517	0.08835490099
518	0.08788574956
519	0.08742016792
520	0.08695812798
521	0.08643408634
522	0.08604153598
523	0.08551158059
524	0.08512444579
525	0.08467804649
526	0.08396010718
527	0.08351861486
528	0.08300663801
529	0.08257261361
530	0.08213918644
531	0.08170906645
532	0.08120925626
533	0.08084460828
534	0.0804224332
535	0.07993147795
536	0.07951571875
537	0.07910125006
538	0.07868994601
539	0.0782106325
540	0.07786216249
541	0.07745846158
542	0.07698761916
543	0.07658938514
544	0.07619414148
545	0.07579989437
546	0.07540866342
547	0.07495169801
548	0.07456556248
549	0.07411184196
550	0.07378540793
551	0.07333973836
552	0.0729628926
553	0.07258892993
554	0.07214850713
555	0.07183273253
556	0.07139795849
557	0.0710327325
558	0.07066980734
559	0.07024300288
560	0.06993774647
561	0.0695816306
562	0.0691275
563	0.0688284636
564	0.06843394536
565	0.06808637444
566	0.06774096151
567	0.06739785655
568	0.06705691432
569	0.06667424632
570	0.06638867536
571	0.06601508223
572	0.06573335337
573	0.06540252022
574	0.0650358234
575	0.06475970565
576	0.06443506755
577	0.06407513255
578	0.06377746318
579	0.06345893097
580	0.06307292381
581	0.06272197965
582	0.06243219056
583	0.06210183516
584	0.06181625429
585	0.06149032305
586	0.06111646653
587	0.06074494187
588	0.0603757338
589	0.06011072136
590	0.05974540587
591	0.05938236718
592	0.05902159039
593	0.05876346946
594	0.05840648951
595	0.05805173268
596	0.05769918446
597	0.05734883042
598	0.05709893351
599	0.05675225954
600	0.05640774223
601	0.05606536751
602	0.05572512144
603	0.05548318852
604	0.05514650947
605	0.05481192272
606	0.05447941467
607	0.05424377979
608	0.05391475132
609	0.05358776613
610	0.05326281095
611	0.05293987262
612	0.05271175165
613	0.05239218622
614	0.05207460334
615	0.05175899017
616	0.05144533393
617	0.0512244893
618	0.0509141027
619	0.05060563985
620	0.05029908829
621	0.04999443568
622	0.04978063731
623	0.04947915434
624	0.04917953817
625	0.04888177674
626	0.04847376865
627	0.0482671474
628	0.04797492826
629	0.04768451755
630	0.0473959036
631	0.04700143024
632	0.04680174513
633	0.04651849259
634	0.04623699203
635	0.04595723218
636	0.04557584856
637	0.0453828667
638	0.04510829335
639	0.04483541739
640	0.0444644573
641	0.0442768277
642	0.04400900035
643	0.04374282824
644	0.04347830073
645	0.04311965863
646	0.04293832773
647	0.04267868427
648	0.04242064464
649	0.04216419853
650	0.04181746947
651	0.04164222575
652	0.04139050457
653	0.04114033749
654	0.04089171454
655	0.04055650689
656	0.04038714593
657	0.04014309405
658	0.03990054816
659	0.03965949862
660	0.0393354336
661	0.03917175785
662	0.03893513059
663	0.0386999628
664	0.03846624514
665	0.03823396833
666	0.03807553333
667	0.03776533509
668	0.03753731029
669	0.03738639052
670	0.03716067935
671	0.03693635917
672	0.03669341504
673	0.03654633882
674	0.03640042964
675	0.03618072915
676	0.03596238224
677	0.03567082045
678	0.03552954323
679	0.03531513735
680	0.03510205215
681	0.03486441655
682	0.03472615206
683	0.03458898924
684	0.03438029726
685	0.0341728906
686	0.03403845549
687	0.03383313504
688	0.03362907875
689	0.0333577483
690	0.03322764008
691	0.03302724731
692	0.03282808811
693	0.0326301546
694	0.03241708384
695	0.03228429826
696	0.03215264643
697	0.03187052571
698	0.03174774105
699	0.03162606961
700	0.03141301777
701	0.03129313517
702	0.03101980738
703	0.03090191733
704	0.03078509579
705	0.0306066106
706	0.0304782614
707	0.03030818838
708	0.03019490332
709	0.03001288902
710	0.0298245937
711	0.02963758196
712	0.0295142593
713	0.02932921435
714	0.02920767649
715	0.02903164868
716	0.02884965704
717	0.0287305972
718	0.02855746969
719	0.02837847759
720	0.02826184624
721	0.02809156802
722	0.02791552269
723	0.02780127129
724	0.02763379229
725	0.02746064194
726	0.02734872288
727	0.02717737839
728	0.02706708369
729	0.02690405439
730	0.02673552138
731	0.02662748016
732	0.02646712198
733	0.02630135115
734	0.02619551833
735	0.02603778448
736	0.02587472747
737	0.02577105883
738	0.0256159034
739	0.02545551271
740	0.02535396493
741	0.02520134283
742	0.02504357185
743	0.02494410246
744	0.02478796028
745	0.02468993975
746	0.02454133978
747	0.02438774222
748	0.02429172968
749	0.02414554774
750	0.02399445045
751	0.02390040564
752	0.0237565996
753	0.02360795902
754	0.0235158425
755	0.02336576998
756	0.02322519978
757	0.02307989358
758	0.02293557473
759	0.0228463992
760	0.02270897835
761	0.02256700068
762	0.02247965497
763	0.02235474182
764	0.02221497596
765	0.02212940477
766	0.02200665984
767	0.02186906766
768	0.02178523665
769	0.02166462152
770	0.02152916562
771	0.02144704109
772	0.02131296264
773	0.02123204157
774	0.02111471044
775	0.02098270803
776	0.02090343715
777	0.02078813912
778	0.0206581771
779	0.0205805244
780	0.02046722358
781	0.02033926697
782	0.02026320106
783	0.02013653707
784	0.02001073574
785	0.01993620276
786	0.01981975408
787	0.01969594221
788	0.01962298752
789	0.01950880588
790	0.01938694676
791	0.01931553773
792	0.0192035775
793	0.01908363512
794	0.01901373981
795	0.01890395635
796	0.01878589541
797	0.01866863791
798	0.01860060308
799	0.01849361841
800	0.01837819513
801	0.0183116042
802	0.01820669694
803	0.0180930742
804	0.01798022422
805	0.01791540722
806	0.01783406728
807	0.01772282096
808	0.0176123311
809	0.01754924656
810	0.01743985542
811	0.01737770333
812	0.01726939806
813	0.0172106572
814	0.01710343565
815	0.0169969424
816	0.01689117217
817	0.01683143014
818	0.01675567194
819	0.01665139362
820	0.01654782314
821	0.01648968183
822	0.01638713345
823	0.0162852808
824	0.01622831615
825	0.01612746682
826	0.01607370612
827	0.01597385795
828	0.01587468659
829	0.01577618712
830	0.01572143264
831	0.0156217753
832	0.01556785485
833	0.01546932096
834	0.01541622276
835	0.01531879861
836	0.01522385041
837	0.01517411358
838	0.01508010128
839	0.0149867253
840	0.01489398106
841	0.01484551424
842	0.01475366701
843	0.01466244081
844	0.01461494696
845	0.01451940368
846	0.01442463393
847	0.01437587518
848	0.01428215041
849	0.01418918434
850	0.0140969703
851	0.01404949799
852	0.01395830077
853	0.0138710837
854	0.013824607
855	0.01373507849
856	0.01364627448
857	0.01360076606
858	0.01351294115
859	0.01342893045
860	0.01338437865
861	0.01329816109
862	0.01321264164
863	0.01316902001
864	0.01308444353
865	0.01300352284
866	0.01296082051
867	0.01287779258
868	0.01279543748
869	0.01275362884
870	0.01267218208
871	0.01259423981
872	0.01255495359
873	0.01247498492
874	0.01239566498
875	0.01231979183
876	0.01228156142
877	0.01220368173
878	0.01216601801
879	0.01208898471
880	0.01201537641
881	0.01197849274
882	0.01190285903
883	0.01182784035
884	0.01175617076
885	0.01172026534
886	0.01164661096
887	0.01157629184
888	0.01154113961
889	0.01146882547
890	0.01143419822
891	0.0113626723
892	0.01129172972
893	0.01122400306
894	0.01119029998
895	0.01111603092
896	0.01108281165
897	0.01101381935
898	0.01094086371
899	0.01090831073
900	0.01083619279
901	0.01080409614
902	0.01077229822
903	0.01070116338
904	0.01066343722
905	0.01059314247
906	0.01052734646
907	0.01045813608
908	0.01042750624
909	0.0103590856
910	0.01032281773
911	0.01025520472
912	0.01022537852
913	0.01015853636
914	0.01012913572
915	0.0100663793
916	0.01000071324
917	0.009966058714
918	0.009901167427
919	0.009872822458
920	0.009808682944
921	0.009780754422
922	0.009717357313
923	0.009689660779
924	0.009626984837
925	0.00959968392
926	0.009540363629
927	0.009466854363
928	0.0094401296
929	0.009407974109
930	0.009347246091
931	0.009275433814
932	0.009249450829
933	0.009223713688
934	0.009166842434
935	0.009107849898
936	0.009082634958
937	0.009013029571
938	0.008988203598
939	0.008932891318
940	0.008902984021
941	0.008845819866
942	0.008778218713
943	0.008754316133
944	0.008700601822
945	0.008644933166
946	0.00862149806
947	0.008559789486
948	0.008498692336
949	0.008438200517
950	0.008378308004
951	0.008319008837
952	0.008260297122
953	0.008202167029
954	0.008144612794
955	0.00809112582
956	0.008038195657
957	0.007985816409
958	0.007933982252
959	0.007882687434
960	0.007831926272
961	0.00777967042
962	0.007725491024
963	0.007671849848
964	0.007620894972
965	0.00757364183
966	0.007526813917
967	0.007474752126
968	0.007428682821
969	0.007383028055
970	0.007337784054
971	0.007287233939
972	0.007242722742
973	0.007198612027
974	0.007154898168
975	0.007105811209
976	0.007062805313
977	0.007020186382
978	0.006977950929
979	0.006930280351
980	0.006888728944
981	0.006847551498
982	0.006806744659
983	0.006760445369
984	0.006720299543
985	0.006680515167
986	0.006635257465
987	0.006596117477
988	0.006557330035
989	0.006518892
990	0.006474929839
991	0.006437114613
992	0.006394464614
993	0.006353533451
994	0.006311182539
995	0.006274340936
996	0.006237831368
997	0.006196648455
998	0.006163522739
999	0.006127682325
